iter	MultiClass
0	1.730650846
1	1.394634258
2	1.18156998
3	1.031611625
4	0.8992226184
5	0.8068895414
6	0.7270587176
7	0.6456355261
8	0.581918609
9	0.5301170846
10	0.4846429271
11	0.4406081458
12	0.4072742966
13	0.374591578
14	0.3444156691
15	0.3210253877
16	0.3017227025
17	0.2792854289
18	0.2602933889
19	0.2437033487
20	0.22961269
21	0.2154784185
22	0.2024604249
23	0.1940537061
24	0.1846607691
25	0.1755010265
26	0.1679442436
27	0.1637886743
28	0.159857078
29	0.1541232281
30	0.1498246773
31	0.1428186271
32	0.1414730667
33	0.1410944517
34	0.1395451192
35	0.139327173
36	0.1345407888
37	0.133977866
38	0.130672405
39	0.1284663952
40	0.1273253599
41	0.1266826728
42	0.1237125618
43	0.1229327397
44	0.1202135559
45	0.1173109214
46	0.1167624343
47	0.1150461834
48	0.1140909172
49	0.1132423093
50	0.1088604785
51	0.1087058093
52	0.1064724559
53	0.1044209691
54	0.1043336208
55	0.102376418
56	0.1001012377
57	0.09857762562
58	0.09855205602
59	0.09792319546
60	0.09728404867
61	0.09622299516
62	0.09570052073
63	0.09543421755
64	0.09521400127
65	0.09499288542
66	0.09456453359
67	0.09441405463
68	0.09345064091
69	0.09247862801
70	0.09095485848
71	0.09017908861
72	0.0898736296
73	0.0895363487
74	0.0883553051
75	0.08595315534
76	0.08562847974
77	0.08499961368
78	0.08316418592
79	0.08160776486
80	0.08120991978
81	0.0809771723
82	0.08056833652
83	0.07909904197
84	0.07835351543
85	0.07711731138
86	0.07692651624
87	0.0757019671
88	0.0755802636
89	0.07530468226
90	0.07502768972
91	0.07494456123
92	0.07281030469
93	0.07264977822
94	0.07230015476
95	0.07048593011
96	0.06948553064
97	0.06916713258
98	0.06905695899
99	0.06886495713
100	0.06873422366
101	0.0680899978
102	0.06788028941
103	0.06718716741
104	0.06694952998
105	0.06641016101
106	0.0661970145
107	0.06558913197
108	0.06469628586
109	0.06432025212
110	0.06407486738
111	0.06353223766
112	0.06272400252
113	0.06268760187
114	0.06253991141
115	0.06216255481
116	0.06203762412
